id,name,type,nationality,birth,career,start age,position
AC Florenz,Florenz,2,Italien,,,,
AC Mailand,Milan,2,Italien,,,,
AC Mantova,Mantova,2,Italien,,,,
AC Parma,Parma,2,Italien,,,,
Adelaide United,Adelaide Utd,2,Australien,,,,
AEK Athen,AEK,2,Griechenland,,,,
AFC Bournemouth,AFC,2,England,,,,
Africa Sports National,Africa National,2,Elfenbeinkueste,,,,
AJ Auxerre,Auxerre,2,Frankreich,,,,
Ajax Amsterdam,Ajax,2,Niederlande,,,,
Al Ahli,Ahli,2,Saudi Arabien,,,,
al Arabi,Arabi,2,Katar,,,,
al Gharafa Sports Club,al Gharafa,2,Katar,,,,
Al Hilal,Hilal,2,Saudi Arabien,,,,
Al Jazira Club,Jazira,2,Vereinigte Arabische Emirate,,,,
Al Masry,Masry,2,Agypten,,,,
Al Nasr,Nasr,2,Saudi Arabien,,,,
Al Sadd,Al Sadd,2,Katar,,,,
Alianza Lima,Alianza,2,Peru,,,,
Americano FC,Americano,2,Brasilien,,,,
Argentinien,ARG,3,,,,,
Argentinos Juniors,Argentinos,2,Argentinien,,,,
AS Cannes,Cannes,2,Frankreich,,,,
AS Monaco,Monaco,2,Frankreich,,,,
AS Nancy,Nancy,2,Frankreich,,,,
AS Rom,Rom,2,Italien,,,,
AS Saint Etienne,Etienne,2,Frankreich,,,,
Associacao Portuguesa de Desportos,Portuguesa,2,Brasilien,,,,
Aston Villa,Aston,2,England,,,,
Atalanta Bergamo,Atalanta,2,Italien,,,,
Athletico Paranaense,Paranaense,2,Brasilien,,,,
Atletico Junior,Atletico Junior,2,Brasilien,,,,
AZ Alkmaar,Alkmaar,2,Niederlande,,,,
Baggio,Roberto Baggio,1,Italien,1967,1982,1,1
Bagneres de Luchon SP,Bageneres,2,Frankreich,,,,
Bangu AC,Bangu,2,Brasilien,,,,
Banks,Gordon Banks,1,England,1937,1958,3,3
Baresi,Franco Baresi,1,Italien,1960,1978,1,2
Basten,Marco van Basten,1,Niederlande,1964,1981,1,1
Batistuta,Gabriel Batistuta,1,Argentinien,1969,1988,2,1
Beckenbauer,Franz Beckenbauer,1,Deutschland,1945,1964,2,2
Beckham,David Beckham,1,England,1975,1992,1,1
Benfica Lissabon,Benfica,2,Portugal,,,,
Bergkamp,Dennis Bergkamp,1,Niederlande,1969,1986,1,1
Besiktas Istanbul,Besiktas,2,Turkei,,,,
Best,George Best,1,Nordirland,1946,1963,1,1
Blackburn Rovers,Rovers,2,England,,,,
Boca Juniors,Boca,2,Brasilien,,,,
Bongrange Company,Bongrange,2,Liberia,,,,
Borussia Monchengladbach,Gladbach,2,Deutschland,,,,
Boston Minutemen,Boston,2,USA,,,,
Botafogo FR,Botafogo,2,Brasilien,,,,
Brasilien,BRA,3,,,,,
Brescia Calcio,Brescia,2,Italien,,,,
Brisbane Lions,Lions,2,Australien,,,,
Brondby IF,Brondby,2,Danemark,,,,
Budapest Honved FC,Honved,2,Ungarn,,,,
Buffalo Stallions,Stallions,2,USA,,,,
Bulgarien,BUL,3,,,,,
Bunjodkor Taschkent,Taschkent,2,Usbekistan,,,,
Bursaspor,Bursaspor,2,Turkei,,,,
CA Huracan,Huracan,2,Argentinien,,,,
Cantona,Eric Cantona,1,Frankreich,1966,1983,1,1
Cardiff City,Cardiff,2,Wales,,,,
Carolina Lightnin,Lightnin,2,USA,,,,
CD Alaves,Alaves,2,Spanien,,,,
CD Castellon,Castellon,2,Spanien,,,,
CD Los Millonarios,Millonarios,2,Kolumbien,,,,
CD Veracruz,Veracruz,2,Mexiko,,,,
Celta de Vigo,Vigo,2,Spanien,,,,
Celtic Glasgow,Glasgow,2,Schottland,,,,
CF Monterrey,Monterrey,2,Mexiko,,,,
Charles,John Charles,1,Wales,1931,1948,1,1
Charlton,Bobby Charlton,1,England,1937,1954,1,1
Chester City,Chester,2,England,,,,
Chicago Fire,Chicago,2,USA,,,,
Cleveland Stokers,Cleveland,2,USA,,,,
Club Cerro Porteno,Club Cerro,2,Paraguay,,,,
Club Jorge Wilstermann,Wilstermann,2,Bolivien,,,,
Club nueve de Octubre,Club Octubre,2,Ecuador,,,,
Club Sol de America,Club Sol,2,Paraguay,,,,
Clube Atletico Lencoense,Lencoense,2,Brasilien,,,,
Como Calcio,Calcio,2,Italien,,,,
Corinthians Sao Paulo,Corinthians,2,Brasilien,,,,
Cork Celtic,Cork,2,Irland,,,,
CR Vasco da Gama,Vasco da Gama,2,Brasilien,,,,
Cruyff,Johan Cruyff,1,Niederlande,1947,1964,1,1
Cruzeiro Belo Horizonte,Cruzeiro,2,Brasilien,,,,
CSD Colo Colo,Colo,2,Chile,,,,
Dalglish,Kenneth Dalglish,1,Schottland,1951,1969,2,1
Danemark,DEN,3,,,,,
DC United,United,2,USA,,,,
Deutschland,GER,3,,,,,
Didi,Valdir Pereira,1,Brasilien,1928,1946,2,1
Dynamo Moskau,Dynamo,2,Russland,,,,
Eastern AA,Eastern,2,Hongkong,,,,
EC Noroeste,Noroeste,2,Brasilien,,,,
Edwards,Duncan Edwards,1,England,1936,1952,1,1
England,ENG,3,,,,,
Espanol Barcelona,Espanol,2,Spanien,,,,
Eusebio,Eusebio,1,Mosambik,1942,1957,1,1
FC Arsenal,Arsenal,2,England,,,,
FC Barcelona,Barca,2,Spanien,,,,
FC Bayern Munchen,FCB,2,Deutschland,,,,
FC Blackpool,Blackpool,2,England,,,,
FC Bologna,Bologna,2,Italien,,,,
FC Chelsea,Chelsea,2,England,,,,
FC Chesterfield,Chesterfield,2,England,,,,
FC Constanta,Constanta,2,Rumanien,,,,
FC Distillery,Distillery,2,England,,,,
FC Elche,Elche,2,Spanien,,,,
FC Everton,Everton,2,England,,,,
FC Fulham,Fulham,2,England,,,,
FC Goa,Goa,2,Indien,,,,
FC Herzogenaurach,Herzogenaurach,2,Deutschland,,,,
FC Liverpool,Liverpool,2,England,,,,
FC Lokomotive Leipzig,Lok Leipzig,2,Deutschland,,,,
FC Martigues,Martigues,2,Frankreich,,,,
FC Port Vale,Vale,2,England,,,,
FC Santos,Santos,2,Brasilien,,,,
FC Sao Paulo,Sao Paulo FC,2,Brasilien,,,,
FC Sevilla,Sevilla,2,Spanien,,,,
FC Toulouse,Toulouse,2,Frankreich,,,,
FC Valencia,Valencia,2,Spanien,,,,
FC Varese,Varese,2,Italien,,,,
FC Viitorul Constanta,Viitorul Constanta,2,Rumanien,,,,
FC Waterford,Waterford,2,Irland,,,,
FC Wrexham,Wrexham,2,Wales,,,,
FCU Politehnica Timisoara,Politehnica Timisoara,2,Rumanien,,,,
Fenerbahce Istanbul,Fenerbahce,2,Turkei,,,,
Feyenoord Rotterdam,Feyenoord,2,Niederlande,,,,
Finney,Tom Finney,1,England,1922,1946,3,1
FK Partizan Belgrad,Partizan,2,Serbien,,,,
Flamengo Rio de Janeiro,Flamengo,2,Brasilien,,,,
Fluminense Rio de Janeiro,Fluminense,2,Brasilien,,,,
Fontaine,Just Fontane,1,Marokko,1933,1950,1,1
Fort Lauderdale Strikers,Lauderdale,2,USA,,,,
Fortaleza EC,Fortaleza,2,Brasilien,,,,
Frankreich,FRA,3,,,,,
Gabun,GAB,3,,,,,
Galatasaray Istanbul,Galatasaray,2,Turkei,,,,
